Codprov,Nom_prov,Hectares,Malla8k,Parcela_ID,Malla2k,Malla1k,Malla4k,Nom_com,Codcom,FID_Malla_,Malla16k,FID_Comuna,Codreg,Nom_reg,system:index
131.0,Santiago,102513.832191,0,435309,0,1,0,Lo Barnechea,13115.0,435308,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d4e7
131.0,Santiago,102513.832191,0,435307,0,1,0,Lo Barnechea,13115.0,435306,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d4eb
131.0,Santiago,102513.832191,0,435305,0,1,0,Lo Barnechea,13115.0,435304,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d4ef
131.0,Santiago,102513.832191,0,435303,0,1,0,Lo Barnechea,13115.0,435302,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d4f4
131.0,Santiago,102513.832191,0,435301,0,1,0,Lo Barnechea,13115.0,435300,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d4f8
131.0,Santiago,102513.832191,0,435299,0,1,0,Lo Barnechea,13115.0,435298,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d4fc
131.0,Santiago,102513.832191,0,435297,0,1,0,Lo Barnechea,13115.0,435296,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d501
131.0,Santiago,102513.832191,0,435295,0,1,0,Lo Barnechea,13115.0,435294,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d505
131.0,Santiago,102513.832191,0,435293,0,1,0,Lo Barnechea,13115.0,435292,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d50a
131.0,Santiago,102513.832191,0,435291,0,1,0,Lo Barnechea,13115.0,435290,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d50f
131.0,Santiago,102513.832191,0,435310,2,1,0,Lo Barnechea,13115.0,435309,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d4e5
131.0,Santiago,102513.832191,0,435306,2,1,0,Lo Barnechea,13115.0,435305,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d4ee
131.0,Santiago,102513.832191,0,435302,2,1,0,Lo Barnechea,13115.0,435301,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d4f6
131.0,Santiago,102513.832191,0,435298,2,1,0,Lo Barnechea,13115.0,435297,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d4ff
131.0,Santiago,102513.832191,0,435294,2,1,0,Lo Barnechea,13115.0,435293,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d508
131.0,Santiago,102513.832191,8,435308,2,1,4,Lo Barnechea,13115.0,435307,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d4e9
131.0,Santiago,102513.832191,0,435304,2,1,4,Lo Barnechea,13115.0,435303,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d4f2
131.0,Santiago,102513.832191,8,435300,2,1,4,Lo Barnechea,13115.0,435299,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d4fb
131.0,Santiago,102513.832191,0,435296,2,1,4,Lo Barnechea,13115.0,435295,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d503
131.0,Santiago,102513.832191,8,435292,2,1,4,Lo Barnechea,13115.0,435291,0,288,13.0,Región Metropolitana de Santiago,0000000000000002d50c
